path,top_dir,ext,size_bytes,mtime_local,review_status,notes
.gitignore,.gitignore,<noext>,696,2026-01-07 19:22:33,pending,
1.png,1.png,.png,2231,2026-01-07 19:22:33,pending,
__pycache__/mitmproxy_capture.cpython-314.pyc,__pycache__,.pyc,8128,2026-01-11 09:45:22,runtime_data,runtime_or_dump
advanced_capture.ps1,advanced_capture.ps1,.ps1,11078,2026-01-10 11:36:14,indexed,noncore_indexed
ADVANCED_FEATURES_GUIDE.md,ADVANCED_FEATURES_GUIDE.md,.md,10061,2026-01-10 10:54:42,indexed,noncore_indexed
analyze_api.js,analyze_api.js,.js,779,2026-01-08 07:18:23,indexed,noncore_indexed
analyze_api2.js,analyze_api2.js,.js,1271,2026-01-08 07:18:37,indexed,noncore_indexed
analyze_api3.js,analyze_api3.js,.js,2876,2026-01-08 07:19:17,indexed,noncore_indexed
analyze_api4.js,analyze_api4.js,.js,2713,2026-01-08 07:19:33,indexed,noncore_indexed
analyze_api5.js,analyze_api5.js,.js,2103,2026-01-08 07:19:47,indexed,noncore_indexed
analyze_custom_format.js,analyze_custom_format.js,.js,9192,2026-01-09 07:12:21,indexed,noncore_indexed
analyze_ui.js,analyze_ui.js,.js,7427,2026-01-09 07:42:08,indexed,noncore_indexed
api_test_report.json,api_test_report.json,.json,5984,2026-01-08 09:30:17,deleted,deleted_test_files
api_test_results.json,api_test_results.json,.json,27963,2026-01-09 04:50:08,deleted,deleted_test_files
bot_auto.js,bot_auto.js,.js,11156,2026-01-13 20:07:37,indexed,noncore_indexed
BOT_FRAMEWORK_GUIDE.md,BOT_FRAMEWORK_GUIDE.md,.md,7682,2026-01-10 10:33:30,indexed,noncore_indexed
bot_manager.js,bot_manager.js,.js,17074,2026-01-13 20:07:35,indexed,noncore_indexed
bot_start.js,bot_start.js,.js,8642,2026-01-13 20:07:37,indexed,noncore_indexed
build.bat,build.bat,.bat,198,2026-01-07 19:22:33,indexed,noncore_indexed
build.cmd,build.cmd,.cmd,2855,2026-01-13 01:08:26,indexed,noncore_indexed
capture_traffic.ps1,capture_traffic.ps1,.ps1,5617,2026-01-10 11:30:28,indexed,noncore_indexed
capture_ui_send.js,capture_ui_send.js,.js,7195,2026-01-09 07:10:40,indexed,noncore_indexed
cdp_send.js,cdp_send.js,.js,6348,2026-01-09 07:29:51,indexed,noncore_indexed
CDPTest.cs,CDPTest.cs,.cs,4627,2026-01-07 19:22:33,deleted,deleted_test_files
ChatAutoBot.sln,ChatAutoBot.sln,.sln,2460,2026-01-07 19:22:33,pending,
check_all_nick_fields.js,check_all_nick_fields.js,.js,5132,2026-01-09 03:55:10,indexed,noncore_indexed
check_all_sessions.js,check_all_sessions.js,.js,3980,2026-01-09 07:30:34,indexed,noncore_indexed
check_bot_status.js,check_bot_status.js,.js,6207,2026-01-09 06:46:21,indexed,noncore_indexed
check_correct_db.js,check_correct_db.js,.js,14674,2026-01-08 07:12:09,indexed,noncore_indexed
check_current_chat.js,check_current_chat.js,.js,5172,2026-01-09 07:42:08,indexed,noncore_indexed
check_groupid.js,check_groupid.js,.js,4496,2026-01-08 09:12:21,indexed,noncore_indexed
check_indexeddb.js,check_indexeddb.js,.js,6326,2026-01-08 08:31:57,indexed,noncore_indexed
check_indexeddb_nicks.js,check_indexeddb_nicks.js,.js,15659,2026-01-08 07:12:09,indexed,noncore_indexed
check_latest.js,check_latest.js,.js,1801,2026-01-09 07:28:16,indexed,noncore_indexed
